year,row_sector,bt_all,exporter_num,importer_num,sector
2003,L,339196.89,2,2,2
2003,H,171159.78,2,2,3
2004,G,471452.37,2,2,1
2004,L,402296.79,2,2,2
2004,H,192492.98,2,2,3
2005,G,617058.66,2,2,1
2005,L,549962.82,2,2,2
2005,H,261334.17,2,2,3
2006,G,733007.34,2,2,1
2006,L,671478.39,2,2,2
2006,H,334080.77,2,2,3
2007,G,922813.87,2,2,1
2007,L,845632.86,2,2,2
2007,H,426200.98,2,2,3
2008,G,1156302.40,2,2,1
2008,L,1013935.20,2,2,2
2008,H,498766.24,2,2,3
2009,G,1042673.40,2,2,1
2009,L,1010746.20,2,2,2
2009,H,510566.47,2,2,3
2010,G,1369926.00,2,2,1
2010,L,1292597.70,2,2,2
2010,H,651304.07,2,2,3
2011,G,1471774.90,2,2,1
2011,L,1485327.60,2,2,2
2011,H,749515.62,2,2,3
1995,G,906.14,3,2,1
1995,L,11.32,3,2,2
1995,H,0.00,3,2,3
1996,G,1064.65,3,2,1
1996,L,10.32,3,2,2
1996,H,0.00,3,2,3
1997,G,1241.59,3,2,1
1997,L,127.38,3,2,2
1997,H,0.00,3,2,3
1998,G,1091.94,3,2,1
1998,L,137.41,3,2,2
1998,H,0.00,3,2,3
1999,G,834.08,3,2,1
1999,L,128.24,3,2,2
1999,H,0.00,3,2,3
2000,G,1192.94,3,2,1
2000,L,142.41,3,2,2
2000,H,0.00,3,2,3
2001,G,1285.69,3,2,1
2001,L,172.12,3,2,2
2001,H,0.00,3,2,3
2002,G,1544.04,3,2,1
2002,L,151.36,3,2,2
2002,H,0.00,3,2,3
2003,G,2089.55,3,2,1
2003,L,223.17,3,2,2
2003,H,0.01,3,2,3
2004,G,3465.43,3,2,1
2004,L,254.15,3,2,2
2004,H,0.01,3,2,3
2005,G,5070.10,3,2,1
2005,L,345.34,3,2,2
2005,H,0.02,3,2,3
2006,G,8110.57,3,2,1
2006,L,320.44,3,2,2
2006,H,0.02,3,2,3
2007,G,13303.72,3,2,1
2007,L,279.80,3,2,2
2007,H,0.02,3,2,3
2008,G,20275.89,3,2,1
2008,L,197.75,3,2,2
2008,H,0.01,3,2,3
2009,G,16297.50,3,2,1
2009,L,476.09,3,2,2
2009,H,0.16,3,2,3
2010,G,25365.72,3,2,1
2010,L,710.09,3,2,2
2010,H,0.14,3,2,3
2011,G,36754.61,3,2,1
2011,L,882.19,3,2,2
2011,H,0.18,3,2,3
1995,G,6020.01,4,2,1
1995,L,1030.24,4,2,2
1995,H,1174.22,4,2,3
1996,G,5582.72,4,2,1
1996,L,840.78,4,2,2
1996,H,1231.67,4,2,3
1997,G,6096.13,4,2,1
1997,L,739.28,4,2,2
1997,H,1279.74,4,2,3
1998,G,6387.06,4,2,1
1998,L,636.66,4,2,2
1998,H,1373.05,4,2,3
1999,G,5574.36,4,2,1
1999,L,447.68,4,2,2
1999,H,1022.06,4,2,3
2000,G,5316.27,4,2,1
2000,L,665.90,4,2,2
2000,H,1392.67,4,2,3
2001,G,5524.14,4,2,1
2001,L,691.71,4,2,2
2001,H,1128.98,4,2,3
2002,G,5236.27,4,2,1
2002,L,1013.79,4,2,2
2002,H,1045.54,4,2,3
2003,G,4972.50,4,2,1
2003,L,690.24,4,2,2
2003,H,1124.55,4,2,3
2004,G,5915.28,4,2,1
2004,L,1294.72,4,2,2
2004,H,1290.27,4,2,3
2005,G,7025.28,4,2,1
2005,L,1009.78,4,2,2
2005,H,1389.60,4,2,3
2006,G,7648.63,4,2,1
2006,L,1830.31,4,2,2
2006,H,1359.77,4,2,3
2007,G,10068.80,4,2,1
2007,L,1745.28,4,2,2
2007,H,2381.27,4,2,3
2008,G,13252.13,4,2,1
2008,L,2173.20,4,2,2
2008,H,2018.91,4,2,3
2009,G,11097.58,4,2,1
2009,L,2883.25,4,2,2
2009,H,3379.14,4,2,3
