iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
CHN,2007,.8630481861050505,.0927378175062689,.0442139963886805,.5812221623264107,.3227109927398432,.0960668449337461,.5041619204444169,.3233337649581565,.1725043145974265
CHN,2008,.8635759395932863,.0921598987370275,.0442641616696864,.5862205984465265,.3173206273622641,.0964587741912094,.5030726372906896,.3233858212817968,.1735415414275135
CHN,2009,.8625850803207266,.0917057357583612,.0457091839209121,.5854955107382064,.3143810323907437,.1001234568710499,.4978833484604784,.3243604396381698,.1777562119013518
CHN,2010,.8633603478977839,.09232530451903,.0443143475831861,.5867023390353742,.3149341259771572,.0983635349874686,.4968494126747291,.3282113467441826,.1749392405810883
CHN,2011,.8626631294573427,.093215345816742,.0441215247259153,.5886606358855153,.3141142814361197,.0972250826783649,.4967730638046458,.3299336908373615,.1732932453579928
DEU,1995,.7636518372421516,.1775276104356784,.05882055232217,.4515865433813477,.420961285525303,.1274521710933495,.3358302623491693,.3286858697724397,.335483867878391
DEU,1996,.7607967461549987,.1778130128974054,.0613902409475961,.4492693310257766,.4195179198933457,.1312127490808776,.3298329844083772,.3276628430443272,.3425041725472957
DEU,1997,.7654762560132463,.1728202943586092,.0617034496281446,.4484810970547996,.4196841825856168,.1318347203595837,.3303837487748202,.3208822793128932,.3487339719122867
DEU,1998,.7707646430821883,.1668053280575205,.0624300288602912,.4455673911833054,.4210404772682825,.133392131548412,.3263629879895976,.3184640745214376,.3551729374889648
DEU,1999,.7706500937604731,.1676906196850791,.0616592865544478,.4305403197911835,.4360026924161031,.1334569877927135,.3214678170109005,.315533939207122,.3629982437819775
DEU,2000,.7849069364319161,.1560214556648081,.0590716079032758,.4257975871332839,.4496069187507651,.124595494115951,.3199404547504534,.2777738847772462,.4022856604723004
DEU,2001,.7899635874776172,.152026443292944,.0580099692294387,.4241754656690149,.4516265460662442,.1241979882647409,.3149500359921522,.2755033213505571,.4095466426572908
