iso_i,code,year,k_ppi
AUS,64,1996,97.15011823
AUS,64,1997,95.17173819
AUS,64,1998,93.40408461
AUS,64,1999,89.85417754
AUS,64,2000,87.12063359
AUS,64,2001,82.66478934
AUS,64,2002,70.05105844
AUS,64,2003,61.91299538
AUS,64,2004,57.77120377
AUS,64,2005,65.75337431
AUS,64,2006,61.27218474
AUS,64,2007,54.31354266
AUS,64,2008,55.42518861
AUS,64,2009,54.54456575
AUS,64,2010,.
AUS,64,2011,.
AUS,J,1995,100
AUS,J,1996,90.20881634
AUS,J,1997,85.31340733
AUS,J,1998,79.78889957
AUS,J,1999,75.17953471
AUS,J,2000,73.88246128
AUS,J,2001,64.48457083
AUS,J,2002,55.80211322
AUS,J,2003,45.31881189
AUS,J,2004,39.17200196
AUS,J,2005,32.95866944
AUS,J,2006,29.38358228
AUS,J,2007,23.60120432
AUS,J,2008,24.08425481
AUS,J,2009,23.70159224
AUS,J,2010,.
AUS,J,2011,.
AUS,70,1995,100
AUS,70,1996,100.7475653
AUS,70,1997,100.8207561
AUS,70,1998,102.5895177
AUS,70,1999,106.0098404
AUS,70,2000,116.7764847
AUS,70,2001,117.4332806
AUS,70,2002,120.8235181
AUS,70,2003,127.3739344
AUS,70,2004,132.4133847
AUS,70,2005,134.5194125
AUS,70,2006,137.2751655
AUS,70,2007,138.8610293
AUS,70,2008,141.7031253
AUS,70,2009,139.4516758
AUS,70,2010,.
AUS,70,2011,.
AUS,71t74,1995,100
AUS,71t74,1996,94.25284628
AUS,71t74,1997,91.36605914
AUS,71t74,1998,88.10477121
AUS,71t74,1999,83.53159976
AUS,71t74,2000,81.48812731
AUS,71t74,2001,75.95240948
AUS,71t74,2002,65.16436205
AUS,71t74,2003,56.17436849
AUS,71t74,2004,49.74944338
AUS,71t74,2005,45.17125911
AUS,71t74,2006,42.41518616
AUS,71t74,2007,35.52674819
AUS,71t74,2008,36.25388113
AUS,71t74,2009,35.6778615
AUS,71t74,2010,.
AUS,71t74,2011,.
AUS,L,1995,100
AUS,L,1996,91.69672911
AUS,L,1997,82.78998091
AUS,L,1998,79.00149042
AUS,L,1999,68.99446302
AUS,L,2000,67.03578301
AUS,L,2001,64.84116074
AUS,L,2002,58.64778827
AUS,L,2003,50.72656887
AUS,L,2004,47.1909995
AUS,L,2005,41.7074349
AUS,L,2006,42.047216
AUS,L,2007,39.26554099
AUS,L,2008,40.06919653
AUS,L,2009,39.43255728
AUS,L,2010,.
AUS,L,2011,.
AUS,M,1995,100
AUS,M,1996,96.81160572
AUS,M,1997,91.64600569
AUS,M,1998,90.47294992
AUS,M,1999,87.40533681
AUS,M,2000,84.96282101
AUS,M,2001,84.66711551
AUS,M,2002,78.61940029
AUS,M,2003,70.14349371
AUS,M,2004,66.03825583
AUS,M,2005,60.10853658
AUS,M,2006,56.18985053
AUS,M,2007,50.7423881
AUS,M,2008,51.78094252
AUS,M,2009,50.95822125
AUS,M,2010,.
AUS,M,2011,.
AUS,N,1995,100
AUS,N,1996,96.33137236
AUS,N,1997,94.09542596
AUS,N,1998,92.764279
AUS,N,1999,92.02575211
AUS,N,2000,88.4000426
AUS,N,2001,87.09870538
AUS,N,2002,85.22884256
AUS,N,2003,78.49117335
AUS,N,2004,75.038077
AUS,N,2005,65.06313552
AUS,N,2006,63.20499164
