iso_i,Code,year,real_k
AUS,N,1998,27542.38068
AUS,N,1999,31564.17624
AUS,N,2000,36015.88689
AUS,N,2001,40882.3111
AUS,N,2002,46102.08054
AUS,N,2003,52020.24371
AUS,N,2004,59398.28391
AUS,N,2005,68655.66981
AUS,N,2006,79729.70573
AUS,N,2007,92366.88979
AUS,N,2008,105323.9045
AUS,N,2009,118466.8716
AUS,N,2010,.
AUS,N,2011,.
AUS,O,1995,23254.57976
AUS,O,1996,28357.33535
AUS,O,1997,33656.06117
AUS,O,1998,40220.46118
AUS,O,1999,46999.78563
AUS,O,2000,53514.40296
AUS,O,2001,60505.06718
AUS,O,2002,67665.68037
AUS,O,2003,75676.14784
AUS,O,2004,84345.64869
AUS,O,2005,94042.78673
AUS,O,2006,106502.6818
AUS,O,2007,121179.2826
AUS,O,2008,136275.4556
AUS,O,2009,151637.753
AUS,O,2010,.
AUS,O,2011,.
AUS,P,1995,NA
AUS,P,1996,NA
AUS,P,1997,NA
AUS,P,1998,NA
AUS,P,1999,NA
AUS,P,2000,NA
AUS,P,2001,NA
AUS,P,2002,NA
AUS,P,2003,NA
AUS,P,2004,NA
AUS,P,2005,NA
AUS,P,2006,NA
AUS,P,2007,NA
AUS,P,2008,NA
AUS,P,2009,NA
AUS,P,2010,.
AUS,P,2011,.
AUT,AtB,1995,34214.33472
AUT,AtB,1996,34205.97791
AUT,AtB,1997,34397.88707
AUT,AtB,1998,34414.00792
AUT,AtB,1999,34464.09402
AUT,AtB,2000,34452.33957
AUT,AtB,2001,34339.15614
AUT,AtB,2002,34259.66778
AUT,AtB,2003,34256.60377
AUT,AtB,2004,34278.92204
AUT,AtB,2005,34364.51622
AUT,AtB,2006,34321.27407
AUT,AtB,2007,34433.74457
AUT,AtB,2008,NA
AUT,AtB,2009,NA
AUT,AtB,2010,.
AUT,AtB,2011,.
AUT,C,1995,2652.27379
AUT,C,1996,2604.596523
AUT,C,1997,2586.575142
AUT,C,1998,2511.130129
AUT,C,1999,2465.81309
AUT,C,2000,2416.250388
AUT,C,2001,2425.988107
AUT,C,2002,2356.879913
AUT,C,2003,2293.018969
AUT,C,2004,2269.381616
AUT,C,2005,2259.947419
AUT,C,2006,2278.42077
AUT,C,2007,2297.68206
AUT,C,2008,NA
AUT,C,2009,NA
AUT,C,2010,.
AUT,C,2011,.
AUT,15t16,1995,8350.01077
AUT,15t16,1996,8323.087244
AUT,15t16,1997,8301.083457
AUT,15t16,1998,8280.929474
AUT,15t16,1999,8194.979594
AUT,15t16,2000,8156.181118
AUT,15t16,2001,8078.699393
AUT,15t16,2002,8007.114301
AUT,15t16,2003,7933.76035
AUT,15t16,2004,7894.990946
AUT,15t16,2005,7866.606145
AUT,15t16,2006,7851.762859
AUT,15t16,2007,7862.911627
AUT,15t16,2008,NA
AUT,15t16,2009,NA
AUT,15t16,2010,.
AUT,15t16,2011,.
AUT,17t18,1995,3196.942
AUT,17t18,1996,3110.411526
AUT,17t18,1997,3057.924431
AUT,17t18,1998,3029.166025
AUT,17t18,1999,2898.328218
AUT,17t18,2000,2878.43269
AUT,17t18,2001,2709.302696
AUT,17t18,2002,2731.538091
AUT,17t18,2003,2602.507335
AUT,17t18,2004,2444.234512
AUT,17t18,2005,2378.090777
AUT,17t18,2006,2310.559156
AUT,17t18,2007,2226.014517
AUT,17t18,2008,NA
AUT,17t18,2009,NA
